,GI,TG,CO2 Avoided (pounds),CO2 Avoided ($),CO2 Sequestered (pounds),CO2 Sequestered ($),Electricity Saved (kWh),Electricity Saved ($),Fuel Saved (MMBtu),Fuel Saved ($),Tree Biomass (short ton),Rainfall Interception (gallons),Avoided Runoff (gallons),Avoided Runoff ($),O3 Removed (pounds),NO2 Avoided (pounds),NO2 Removed (pounds),SO2 Avoided (pounds),SO2 Removed (pounds),VOC Avoided (pounds),PM2.5 Avoided (pounds),PM2.5 Removed (pounds)
4,3,"(1) Tree, Tulip (Liriodendron tulipifera)  at 50.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"18,782.5",$436.82,"2,337.8",$268.54,52.4,$660.93,13.1,"79,809.8","10,845.1",$96.91,25.3,1.9,7.4,30.9,3.3,0.3,0.2,0.7
5,4,"(1) Tree, Tulip (Liriodendron tulipifera)  at 52.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"19,670.1",$457.47,"2,337.8",$268.54,52.4,$660.93,14.2,"79,866.8","10,852.8",$96.98,25.2,1.9,7.3,30.9,3.3,0.3,0.2,0.7
6,5,"(1) Tree, Tulip (Liriodendron tulipifera)  at 24.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"11,532.1",$268.20,"2,337.8",$268.54,52.4,$660.93,4.2,"54,761.1","7,441.3",$66.50,26.9,1.9,8.7,30.9,3.3,0.3,0.2,1.3
7,6,"(1) Tree, Tulip (Liriodendron tulipifera)  at 56.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"21,636.8",$503.20,"2,337.8",$268.54,52.4,$660.93,16.5,"79,866.8","10,852.8",$96.98,25.2,1.9,7.3,30.9,3.3,0.3,0.2,0.7
8,7,"(1) Tree, Tulip (Liriodendron tulipifera)  at 62.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"24,683.9",$574.07,"2,337.8",$268.54,52.4,$660.93,20.4,"79,866.8","10,852.8",$96.98,25.2,1.9,7.3,30.9,3.3,0.3,0.2,0.7
9,8,"(1) Tree, Tulip (Liriodendron tulipifera)  at 20.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"18,292.5",$425.43,"2,546.3",$292.48,52.4,$660.93,5.2,"87,106.0","11,836.5",$105.77,28.6,1.9,8.6,31.5,3.7,0.3,0.2,1.0
10,9,"(1) Tree, Tulip (Liriodendron tulipifera)  at 54.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"35,563.2",$827.09,"2,546.3",$292.48,52.4,$660.93,18.7,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
11,10,"(1) Tree, Tulip (Liriodendron tulipifera)  at 37.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"20,631.4",$479.82,"2,447.5",$281.14,52.4,$660.93,9.0,"98,626.5","13,402.0",$119.76,23.4,1.9,6.4,31.2,3.2,0.3,0.2,0.5
2,1,"(1) Tree, Tulip (Liriodendron tulipifera)  at 24.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"16,097.5",$374.38,"2,447.5",$281.14,52.4,$660.93,5.2,"76,782.0","10,433.6",$93.23,29.1,1.9,8.9,31.2,3.7,0.3,0.2,1.1
3,2,"(1) Tree, Tulip (Liriodendron tulipifera)  at 34.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"19,688.7",$457.90,"2,447.5",$281.14,52.4,$660.93,8.0,"94,793.1","12,881.1",$115.11,24.8,1.9,6.9,31.2,3.3,0.3,0.2,0.6
4,3,"(1) Tree, Tulip (Liriodendron tulipifera)  at 82.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"60,058.8","$1,396.78","2,546.3",$292.48,52.4,$660.93,42.5,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
5,4,"(1) Tree, Tulip (Liriodendron tulipifera)  at 55.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"36,373.3",$845.93,"2,546.3",$292.48,52.4,$660.93,19.4,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
6,5,"(1) Tree, Tulip (Liriodendron tulipifera)  at 62.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"42,186.1",$981.12,"2,546.3",$292.48,52.4,$660.93,24.4,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
7,6,"(1) Tree, Tulip (Liriodendron tulipifera)  at 48.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"24,712.6",$574.74,"2,447.5",$281.14,52.4,$660.93,13.6,"105,352.3","14,315.9",$127.93,20.3,1.9,5.2,31.2,2.8,0.3,0.2,0.3
8,7,"(1) Tree, Tulip (Liriodendron tulipifera)  at 29.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"18,026.6",$419.24,"2,447.5",$281.14,52.4,$660.93,6.5,"86,755.1","11,788.8",$105.35,27.2,1.9,7.9,31.2,3.5,0.3,0.2,0.8
9,8,"(1) Tree, Tulip (Liriodendron tulipifera)  at 30.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"18,367.7",$427.18,"2,447.5",$281.14,52.4,$660.93,6.8,"88,510.9","12,027.4",$107.48,26.7,1.9,7.7,31.2,3.5,0.3,0.2,0.8
10,9,"(1) Tree, Tulip (Liriodendron tulipifera)  at 28.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"17,681.5",$411.22,"2,447.5",$281.14,52.4,$660.93,6.2,"84,933.2","11,541.3",$103.13,27.6,1.9,8.1,31.2,3.6,0.3,0.2,0.9
11,10,"(1) Tree, Tulip (Liriodendron tulipifera)  at 36.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"20,321.9",$472.62,"2,447.5",$281.14,52.4,$660.93,8.7,"97,438.8","13,240.6",$118.32,23.9,1.9,6.5,31.2,3.2,0.3,0.2,0.5
2,1,"(1) Tree, Tulip (Liriodendron tulipifera)  at 35.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"20,007.6",$465.32,"2,447.5",$281.14,52.4,$660.93,8.3,"96,160.1","13,066.8",$116.77,24.3,1.9,6.7,31.2,3.2,0.3,0.2,0.6
3,2,"(1) Tree, Tulip (Liriodendron tulipifera)  at 20.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"14,174.5",$329.66,"2,447.5",$281.14,52.4,$660.93,4.2,"67,308.3","9,146.3",$81.73,29.8,1.9,9.5,31.2,3.7,0.3,0.2,1.3
4,3,"(1) Tree, Tulip (Liriodendron tulipifera)  at 40.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"21,547.2",$501.12,"2,447.5",$281.14,52.4,$660.93,10.1,"101,607.2","13,807.0",$123.38,22.2,1.9,5.9,31.2,3.0,0.3,0.2,0.4
5,4,"(1) Tree, Tulip (Liriodendron tulipifera)  at 38.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"20,936.1",$486.91,"2,447.5",$281.14,52.4,$660.93,9.4,"99,720.1","13,550.6",$121.09,23.0,1.9,6.2,31.2,3.1,0.3,0.2,0.5
6,5,"(1) Tree, Tulip (Liriodendron tulipifera)  at 31.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"18,704.5",$435.01,"2,447.5",$281.14,52.4,$660.93,7.1,"90,196.5","12,256.5",$109.52,26.3,1.9,7.5,31.2,3.4,0.3,0.2,0.7
7,6,"(1) Tree, Tulip (Liriodendron tulipifera)  at 27.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"17,321.5",$402.85,"2,447.5",$281.14,52.4,$660.93,6.0,"83,032.3","11,282.9",$100.82,28.1,1.9,8.3,31.2,3.6,0.3,0.2,0.9
8,7,"(1) Tree, Tulip (Liriodendron tulipifera)  at 46.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"23,779.7",$553.04,"2,447.5",$281.14,52.4,$660.93,12.7,"104,903.3","14,254.9",$127.38,20.5,1.9,5.3,31.2,2.8,0.3,0.2,0.3
9,8,"(1) Tree, Tulip (Liriodendron tulipifera)  at 26.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"16,937.1",$393.90,"2,447.5",$281.14,52.4,$660.93,5.7,"81,038.6","11,012.0",$98.40,28.4,1.9,8.5,31.2,3.6,0.3,0.2,1.0
10,9,"(1) Tree, Tulip (Liriodendron tulipifera)  at 9.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"7,836.0",$182.24,"2,447.5",$281.14,52.4,$660.93,1.9,"37,553.3","5,103.0",$45.60,23.2,1.9,8.0,31.2,2.8,0.3,0.2,1.4
11,10,"(1) Tree, Tulip (Liriodendron tulipifera)  at 42.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"22,213.6",$516.62,"2,447.5",$281.14,52.4,$660.93,10.9,"103,077.8","14,006.9",$125.17,21.5,1.9,5.7,31.2,2.9,0.3,0.2,0.4
2,1,"(1) Tree, Tulip (Liriodendron tulipifera)  at 60.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"40,500.4",$941.91,"2,546.3",$292.48,52.4,$660.93,22.9,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
3,2,"(1) Tree, Tulip (Liriodendron tulipifera)  at 12.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"6,247.4",$145.29,"2,337.8",$268.54,52.4,$660.93,1.7,"30,145.7","4,096.4",$36.61,18.2,1.9,6.2,30.9,2.2,0.3,0.2,1.1
4,3,"(1) Tree, Tulip (Liriodendron tulipifera)  at 21.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"10,363.2",$241.02,"2,337.8",$268.54,52.4,$660.93,3.5,"49,037.2","6,663.5",$59.54,25.7,1.9,8.5,30.9,3.1,0.3,0.2,1.3
5,4,"(1) Tree, Tulip (Liriodendron tulipifera)  at 20.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"9,941.8",$231.22,"2,337.8",$268.54,52.4,$660.93,3.3,"47,030.7","6,390.8",$57.11,25.2,1.9,8.3,30.9,3.0,0.3,0.2,1.3
6,5,"(1) Tree, Tulip (Liriodendron tulipifera)  at 27.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"12,530.6",$291.42,"2,337.8",$268.54,52.4,$660.93,4.9,"59,941.7","8,145.3",$72.79,27.5,1.9,8.8,30.9,3.4,0.3,0.2,1.2
7,6,"(1) Tree, Tulip (Liriodendron tulipifera)  at 22.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"10,769.6",$250.47,"2,337.8",$268.54,52.4,$660.93,3.7,"50,998.1","6,929.9",$61.93,26.2,1.9,8.6,30.9,3.2,0.3,0.2,1.3
8,7,"(1) Tree, Tulip (Liriodendron tulipifera)  at 13.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"6,710.5",$156.07,"2,337.8",$268.54,52.4,$660.93,1.9,"32,267.9","4,384.8",$39.18,19.3,1.9,6.6,30.9,2.3,0.3,0.2,1.1
9,8,"(1) Tree, Tulip (Liriodendron tulipifera)  at 29.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"13,096.2",$304.58,"2,337.8",$268.54,52.4,$660.93,5.4,"63,059.7","8,569.0",$76.57,27.6,1.9,8.7,30.9,3.4,0.3,0.2,1.2
10,9,"(1) Tree, Tulip (Liriodendron tulipifera)  at 18.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"9,060.1",$210.71,"2,337.8",$268.54,52.4,$660.93,2.8,"42,905.2","5,830.2",$52.10,23.9,1.9,8.0,30.9,2.9,0.3,0.2,1.3
11,10,"(1) Tree, Tulip (Liriodendron tulipifera)  at 30.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"13,369.4",$310.93,"2,337.8",$268.54,52.4,$660.93,5.7,"64,539.9","8,770.1",$78.37,27.6,1.9,8.7,30.9,3.4,0.3,0.2,1.1
2,1,"(1) Tree, Tulip (Liriodendron tulipifera)  at 31.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"13,639.1",$317.20,"2,337.8",$268.54,52.4,$660.93,5.9,"65,967.1","8,964.0",$80.10,27.6,1.9,8.6,30.9,3.5,0.3,0.2,1.1
3,2,"(1) Tree, Tulip (Liriodendron tulipifera)  at 11.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"5,794.2",$134.76,"2,337.8",$268.54,52.4,$660.93,1.6,"28,041.5","3,810.5",$34.05,17.0,1.9,5.8,30.9,2.0,0.3,0.2,1.0
4,3,"(1) Tree, Tulip (Liriodendron tulipifera)  at 14.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"7,183.3",$167.06,"2,337.8",$268.54,52.4,$660.93,2.1,"34,401.2","4,674.7",$41.77,20.3,1.9,6.9,30.9,2.4,0.3,0.2,1.2
5,4,"(1) Tree, Tulip (Liriodendron tulipifera)  at 17.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"8,602.7",$200.07,"2,337.8",$268.54,52.4,$660.93,2.6,"40,799.5","5,544.1",$49.54,23.1,1.9,7.8,30.9,2.8,0.3,0.2,1.3
6,5,"(1) Tree, Tulip (Liriodendron tulipifera)  at 16.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"8,136.2",$189.22,"2,337.8",$268.54,52.4,$660.93,2.4,"38,675.0","5,255.4",$46.96,22.3,1.9,7.5,30.9,2.7,0.3,0.2,1.3
7,6,"(1) Tree, Tulip (Liriodendron tulipifera)  at 10.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"5,351.4",$124.46,"2,337.8",$268.54,52.4,$660.93,1.4,"25,961.8","3,527.9",$31.52,15.9,1.9,5.4,30.9,1.9,0.3,0.2,1.0
8,7,"(1) Tree, Tulip (Liriodendron tulipifera)  at 37.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"15,179.4",$353.03,"2,337.8",$268.54,52.4,$660.93,7.8,"73,249.4","9,953.6",$88.95,26.9,1.9,8.1,30.9,3.4,0.3,0.2,0.9
9,8,"(1) Tree, Tulip (Liriodendron tulipifera)  at 3.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","12,125.6",$282.00,"2,583.1",$60.07,"2,128.3",$244.47,47.6,$600.27,0.6,"12,703.5","1,726.2",$15.43,7.6,1.7,2.6,28.1,0.9,0.3,0.2,0.4
10,9,"(1) Tree, Tulip (Liriodendron tulipifera)  at 35.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"14,681.1",$341.44,"2,337.8",$268.54,52.4,$660.93,7.1,"71,085.0","9,659.5",$86.32,27.2,1.9,8.3,30.9,3.4,0.3,0.2,1.0
11,10,"(1) Tree, Tulip (Liriodendron tulipifera)  at 10.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"8,434.8",$196.17,"2,447.5",$281.14,52.4,$660.93,2.1,"40,287.6","5,474.5",$48.92,24.4,1.9,8.3,31.2,2.9,0.3,0.2,1.5
2,1,"(1) Tree, Tulip (Liriodendron tulipifera)  at 12.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"9,642.4",$224.25,"2,447.5",$281.14,52.4,$660.93,2.5,"45,817.9","6,226.0",$55.64,26.4,1.9,8.9,31.2,3.2,0.3,0.2,1.5
3,2,"(1) Tree, Tulip (Liriodendron tulipifera)  at 15.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"7,662.3",$178.20,"2,337.8",$268.54,52.4,$660.93,2.2,"36,539.4","4,965.2",$44.37,21.3,1.9,7.2,30.9,2.6,0.3,0.2,1.2
4,3,"(1) Tree, Tulip (Liriodendron tulipifera)  at 13.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"10,240.5",$238.16,"2,447.5",$281.14,52.4,$660.93,2.7,"48,592.5","6,603.1",$59.00,27.2,1.9,9.2,31.2,3.3,0.3,0.2,1.5
5,4,"(1) Tree, Tulip (Liriodendron tulipifera)  at 2.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","12,004.0",$279.18,"4,072.8",$94.72,"2,180.2",$250.43,46.7,$589.25,0.9,"19,871.4","2,700.2",$24.13,13.4,1.7,4.7,27.8,1.6,0.3,0.2,0.9
6,5,"(1) Tree, Tulip (Liriodendron tulipifera)  at 18.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"13,110.7",$304.91,"2,447.5",$281.14,52.4,$660.93,3.8,"62,170.9","8,448.2",$75.49,29.6,1.9,9.6,31.2,3.6,0.3,0.2,1.4
7,6,"(1) Tree, Tulip (Liriodendron tulipifera)  at 15.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"11,417.2",$265.53,"2,447.5",$281.14,52.4,$660.93,3.1,"54,110.0","7,352.8",$65.70,28.5,1.9,9.5,31.2,3.5,0.3,0.2,1.5
8,7,"(1) Tree, Tulip (Liriodendron tulipifera)  at 14.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"10,832.6",$251.93,"2,447.5",$281.14,52.4,$660.93,2.9,"51,359.7","6,979.1",$62.37,28.0,1.9,9.3,31.2,3.4,0.3,0.2,1.5
9,8,"(1) Tree, Tulip (Liriodendron tulipifera)  at 17.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"12,558.1",$292.06,"2,447.5",$281.14,52.4,$660.93,3.5,"59,524.1","8,088.5",$72.28,29.4,1.9,9.6,31.2,3.6,0.3,0.2,1.5
10,9,"(1) Tree, Tulip (Liriodendron tulipifera)  at 44.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"28,853.3",$671.04,"2,546.3",$292.48,52.4,$660.93,13.1,"127,328.7","17,302.2",$154.61,14.8,1.9,3.4,31.5,2.2,0.3,0.2,0.1
11,10,"(1) Tree, Tulip (Liriodendron tulipifera)  at 68.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"47,358.1","$1,101.40","2,546.3",$292.48,52.4,$660.93,29.2,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
2,1,"(1) Tree, Tulip (Liriodendron tulipifera)  at 91.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"68,659.0","$1,596.80","2,546.3",$292.48,52.4,$660.93,52.7,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
3,2,"(1) Tree, Tulip (Liriodendron tulipifera)  at 66.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"45,615.3","$1,060.87","2,546.3",$292.48,52.4,$660.93,27.6,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
4,3,"(1) Tree, Tulip (Liriodendron tulipifera)  at 38.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"15,422.6",$358.68,"2,337.8",$268.54,52.4,$660.93,8.1,"74,224.2","10,086.0",$90.13,26.8,1.9,8.0,30.9,3.4,0.3,0.2,0.9
5,4,"(1) Tree, Tulip (Liriodendron tulipifera)  at 39.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.","13,344.7",$310.36,"15,661.9",$364.25,"2,337.8",$268.54,52.4,$660.93,8.4,"75,124.2","10,208.4",$91.22,26.6,1.9,8.0,30.9,3.4,0.3,0.2,0.9
6,5,"(1) Tree, Tulip (Liriodendron tulipifera)  at 80.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"58,192.6","$1,353.38","2,546.3",$292.48,52.4,$660.93,40.5,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
7,6,"(1) Tree, Tulip (Liriodendron tulipifera)  at 63.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"43,036.2","$1,000.89","2,546.3",$292.48,52.4,$660.93,25.2,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
8,7,"(1) Tree, Tulip (Liriodendron tulipifera)  at 58.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"38,834.4",$903.17,"2,546.3",$292.48,52.4,$660.93,21.5,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
9,8,"(1) Tree, Tulip (Liriodendron tulipifera)  at 69.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"48,236.5","$1,121.83","2,546.3",$292.48,52.4,$660.93,30.1,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
10,9,"(1) Tree, Tulip (Liriodendron tulipifera)  at 89.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","13,576.2",$315.74,"66,719.8","$1,551.70","2,546.3",$292.48,52.4,$660.93,50.3,"128,817.5","17,504.5",$156.42,14.0,1.9,3.1,31.5,2.1,0.3,0.2,0.1
11,10,"(1) Tree, Tulip (Liriodendron tulipifera)  at 51.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"26,352.3",$612.87,"2,447.5",$281.14,52.4,$660.93,15.3,"105,615.7","14,351.7",$128.25,20.1,1.9,5.2,31.2,2.8,0.3,0.2,0.3
2,1,"(1) Tree, Tulip (Liriodendron tulipifera)  at 41.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"21,872.1",$508.68,"2,447.5",$281.14,52.4,$660.93,10.5,"102,393.1","13,913.8",$124.33,21.8,1.9,5.8,31.2,3.0,0.3,0.2,0.4
3,2,"(1) Tree, Tulip (Liriodendron tulipifera)  at 45.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.","13,466.6",$313.19,"23,354.1",$543.14,"2,447.5",$281.14,52.4,$660.93,12.2,"104,572.8","14,210.0",$126.98,20.7,1.9,5.4,31.2,2.9,0.3,0.2,0.3
